Altium Designer Pick and Place Locations
C:\Users\Lorenzo\Documents\Progetti\BugBuster\PCB Material\BubBuster_DAQ\BugBuster_DAQ\Project Outputs for BugBuster_DAQ\Pick Place for BugBuster_DAQ.csv

========================================================================================================================
File Design Information:

Date:       18/06/26
Time:       14:41
Revision:   0c85ad8b548e125d8ad99cb8c49d076cb01b8ec1
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R51","100 kOhms","TopLayer","RES_0603_1608","1320.866","1271.653","0","RES SMD 100K OHM 1% 1/3W 0603"
"UP","430473035826","BottomLayer","430473035826","1377.953","1377.953","270","Switch Tactile Spst-no 0.05A 12V"
"R46","10 kOhms","TopLayer","RES_0603_1608","651.575","984.252","0","RES SMD 10K OHM 1% 1/3W 0603"
"R44","10 kOhms","TopLayer","RES_0603_1608","1320.866","1397.638","0","RES SMD 10K OHM 1% 1/3W 0603"
"R43","10 kOhms","TopLayer","RES_0603_1608","1320.866","1476.378","0","RES SMD 10K OHM 1% 1/3W 0603"
"OK","430473035826","BottomLayer","430473035826","2992.126","1102.362","270","Switch Tactile Spst-no 0.05A 12V"
"DOWN","430473035826","BottomLayer","430473035826","1377.953","787.402","270","Switch Tactile Spst-no 0.05A 12V"
"R42","1 kOhms","TopLayer","RES_0603_1608","3228.346","1978.346","90","RES SMD 1K OHM 1% 1/3W 0603"
"IC1","Taken From Chinese PCB","TopLayer","DIODES_SOT-23-3","3120.079","1986.220","180","IC REG LINEAR LED DRIVER 60mA"
"C81","0.1 µF","TopLayer","CAP_0603_1608","3110.236","1889.764","180","SMT Capacitor"
"C80","1 µF","TopLayer","CAP_0603_1608","2972.441","2027.559","270","SMT Capacitor"
"C79","0.1 µF","TopLayer","CAP_0603_1608","3021.653","2027.559","270","SMT Capacitor"
"J4","52745-0897","TopLayer","MOLX-52745-0897","2630.276","2085.984","0","0.5 mm Pitch Easy-On(TM) Type FPC Connector, 2.0 mm Mated Height, Right Angle, ZIF, SMT, Top Contact, 8 Circuits, -20 to 85 degC, ELV and RoHS Compliant, Tape and Reel"
"R41","100 kOhms","TopLayer","RES_0603_1608","1338.583","1712.598","0","RES SMD 100K OHM 1% 1/3W 0603"
"R20","100 kOhms","TopLayer","RES_0603_1608","1320.866","1322.835","0","RES SMD 100K OHM 1% 1/3W 0603"
"R4","100 kOhms","TopLayer","RES_0603_1608","905.512","929.134","180","RES SMD 100K OHM 1% 1/3W 0603"
"R3","100 kOhms","TopLayer","RES_0603_1608","358.268","2185.039","0","RES SMD 100K OHM 1% 1/3W 0603"
"R2","100 kOhms","TopLayer","RES_0603_1608","472.441","2185.039","180","RES SMD 100K OHM 1% 1/3W 0603"
"DNP","100 kOhms","TopLayer","RES_0603_1608","905.512","984.252","180","RES SMD 100K OHM 1% 1/3W 0603"
"R47","0 Ohms","TopLayer","RES_0603_1608","3688.976","1051.181","270","RES 0 OHM JUMPER 0603"
"R7","34.8 kOhms","TopLayer","RES_0603_1608","2055.118","2145.669","180","RES SMD 34.8K OHM 1% 1/10W 0603"
"U27","LTM8056MPY#PBF","TopLayer","FP-BGA-121-05-08-1891-IPC_C","1222.047","439.764","180","DC DC CONVERTER 1.2-48V"
"RST","430473035826","TopLayer","430473035826","561.024","2354.331","180","Switch Tactile Spst-no 0.05A 12V"
"R76","10 kOhms","TopLayer","RES_0603_1608","354.331","2519.685","0","RES SMD 10K OHM 1% 1/3W 0603"
"R75","100 Ohms","TopLayer","RES_0603_1608","795.276","2271.653","180","RES SMD 100 OHM 1% 1/3W 0603"
"R74","10 kOhms","TopLayer","RES_0603_1608","1279.528","1933.071","270","RES SMD 10K OHM 1% 1/3W 0603"
"R73","1 kOhms","TopLayer","RES_0603_1608","4049.213","314.961","180","RES SMD 1K OHM 1% 1/3W 0603"
"R72","100 Ohms","TopLayer","RES_0603_1608","3413.386","440.945","180","RES SMD 100 OHM 1% 1/3W 0603"
"R71","100 Ohms","TopLayer","RES_0603_1608","3610.236","440.945","0","RES SMD 100 OHM 1% 1/3W 0603"
"R70","0 Ohms","TopLayer","RES_0603_1608","3791.339","334.646","270","RES 0 OHM JUMPER 0603"
"P1","691382010004","TopLayer","691382010004","3511.811","360.236","0","Terminal Block, R/A Header, 4Pos, Th Rohs Compliant: Yes"
"D11","XL-2020RGBC-WS2812B","TopLayer","LED_XL-2020RGBC-WS2812B","4173.228","2755.905","270","2020 RGB LED(BUILT-IN IC)"
"D10","XL-2020RGBC-WS2812B","TopLayer","LED_XL-2020RGBC-WS2812B","4177.165","2419.713","270","2020 RGB LED(BUILT-IN IC)"
"D9","XL-2020RGBC-WS2812B","TopLayer","LED_XL-2020RGBC-WS2812B","4177.165","2083.521","270","2020 RGB LED(BUILT-IN IC)"
"D8","XL-2020RGBC-WS2812B","TopLayer","LED_XL-2020RGBC-WS2812B","4181.102","1747.328","270","2020 RGB LED(BUILT-IN IC)"
"D7","XL-2020RGBC-WS2812B","TopLayer","LED_XL-2020RGBC-WS2812B","4179.134","1411.136","270","2020 RGB LED(BUILT-IN IC)"
"D6","XL-2020RGBC-WS2812B","TopLayer","LED_XL-2020RGBC-WS2812B","4179.134","1074.944","270","2020 RGB LED(BUILT-IN IC)"
"D5","XL-2020RGBC-WS2812B","TopLayer","LED_XL-2020RGBC-WS2812B","4175.197","738.751","270","2020 RGB LED(BUILT-IN IC)"
"D4","XL-2020RGBC-WS2812B","TopLayer","LED_XL-2020RGBC-WS2812B","4175.197","402.559","270","2020 RGB LED(BUILT-IN IC)"
"C91","1 µF","TopLayer","CAP_0603_1608","1279.528","2047.244","270","SMT Capacitor"
"C90","0.1 µF","TopLayer","CAP_0603_1608","1279.528","1811.024","90","SMT Capacitor"
"C89","0.1 µF","TopLayer","CAP_0603_1608","4225.394","1972.441","90","SMT Capacitor"
"C88","0.1 µF","TopLayer","CAP_0603_1608","4215.551","1297.244","90","SMT Capacitor"
"C87","0.1 µF","TopLayer","CAP_0603_1608","4208.661","624.016","90","SMT Capacitor"
"BOOT","430473035826","TopLayer","430473035826","188.976","2354.331","180","Switch Tactile Spst-no 0.05A 12V"
"U30","ESP32-P4_MODULE","TopLayer","XCVR_ESP32-P4_MODULE","688.976","1574.803","270","Dual-core RISC-V high-performance module"
"U28","AD7415ARTZ-0500RL7","TopLayer","ADI-RJ-5_M","1066.929","850.394","180","+/-0.5 degrees C Accurate, 10-Bit Digital Temperature Sensor, 2.7 to 5.5 V Supply, Industrial, 5-pin SOT23 (RJ-5), Reel"
"TX","Test Point","TopLayer","TP_1mm","1035.433","1003.937","270",""
"RX","Test Point","TopLayer","TP_1mm","1090.551","1003.937","270",""
"R69","10 kOhms","TopLayer","RES_0603_1608","1320.866","1216.535","0","RES SMD 10K OHM 1% 1/3W 0603"
"R68","10 kOhms","TopLayer","RES_0603_1608","1320.866","1161.417","0","RES SMD 10K OHM 1% 1/3W 0603"
"R67","100 kOhms","TopLayer","RES_0603_1608","525.591","2685.039","180","RES SMD 100K OHM 1% 1/3W 0603"
"R65","100 kOhms","TopLayer","RES_0603_1608","665.354","2161.417","180","RES SMD 100K OHM 1% 1/3W 0603"
"R64","5.1 kOhms","TopLayer","RES_0603_1608","106.299","574.803","180","RES SMD 5.1K OHM 1% 1/3W 0603"
"R61","5.1 kOhms","TopLayer","RES_0603_1608","90.551","1043.307","180","RES SMD 5.1K OHM 1% 1/3W 0603"
"L3","1.6 nH","TopLayer","Murata_LQW18_0603","786.417","3035.433","270","FIXED IND 1.6NH 700MA 30MOHM SMD"
"J1","USB4085-GF-A","TopLayer","FP-USB4085-GF-A-MFG","161.220","807.087","270","CONN RCPT USB2.0 TYPE C 24POS RA"
"E1","PRO-OB-440","TopLayer","XDCR_PRO-OB-440","751.968","3015.748","90","2.4GHz Bluetooth, WirelessHART, WLAN, Zigbeeâ„¢ Stamped Metal RF Antenna 2.4GHz ~ 2.5GHz - Solder Surface Mount"
"D3","NRVBA340T3G","TopLayer","FP-403D-MFG","437.008","929.134","180","DIODE SCHOTTKY 40V 3A SMA"
"C86","2.7 pF","TopLayer","CAP_0603_1608","565.748","3021.654","0","SMT Capacitor"
"C85","4.7 pF","TopLayer","CAP_0603_1608","694.882","3015.748","0","SMT Capacitor"
"C84","22 µF","TopLayer","CAP_0603_1608","1334.646","1811.024","90","SMT Capacitor"
"C83","1 µF","TopLayer","CAP_0603_1608","1389.764","1811.024","90","SMT Capacitor"
"C82","0.1 µF","TopLayer","CAP_0603_1608","4217.520","2642.716","90","SMT Capacitor"
"C78","10000 pF","TopLayer","CAP_0603_1608","1566.929","2594.488","90","CAP CER 10000PF 100V X7R 0603"
"C77","10000 pF","TopLayer","CAP_0603_1608","1507.874","2594.488","90","CAP CER 10000PF 100V X7R 0603"
"C76","22 µF","TopLayer","CAP_0603_1608","1657.480","2976.378","180","SMT Capacitor"
"C75","0.1 µF","TopLayer","CAP_0603_1608","1590.551","696.850","180","SMT Capacitor"
"C74","0.1 µF","TopLayer","CAP_0603_1608","1566.929","877.953","270","SMT Capacitor"
"C73","4.7 µF","TopLayer","CAP_0805_2012","1688.976","2527.559","0","CAP CER 4.7UF 35V X7R 0805"
"U13","ADG6412BCPZ-REEL7","TopLayer","CP_16_17_ADI","2629.921","602.362","180","0.5 mR RON, ±20 V, +36 V, Quad SPST Switch"
"U9","ADG6412BCPZ-REEL7","TopLayer","CP_16_17_ADI","2248.032","598.425","270","0.5 mR RON, ±20 V, +36 V, Quad SPST Switch"
"R54","0 Ohms","TopLayer","RES_0603_1608","314.961","2834.646","180","RES 0 OHM JUMPER 0603"
"Y1","SiT8208AI-22-33E-16.384000X","TopLayer","FP-SiT8208-2-MFG","1767.716","2161.417","180","SiT8208AI-22-33E-16.384000X"
"U26","DS4424+","TopLayer","21-0137_T1433+2_MXM","1468.504","909.449","270","Two-/Four-Channel, IÂ²C, 7-Bit Sink/Source Current DAC"
"U25","ADG5204BCPZ-RL7","TopLayer","CP_16_17_ADI","3515.748","748.032","270","High Voltage, Latch-up Proof, 4-Channel Multiplexer"
"U24","ADG5204BCPZ-RL7","TopLayer","CP_16_17_ADI","2444.882","1228.347","90","High Voltage, Latch-up Proof, 4-Channel Multiplexer"
"U23","ADAQ7769-1BBCZ","TopLayer","BC-84-4_ADI","3511.811","1137.795","90","High Input Impedance, Programmable Gain, 24-Bit, 1MSPS, Alias-Free Î¼ModuleÂ® DAQ Solution"
"U22","ADAQ7769-1BBCZ","TopLayer","BC-84-4_ADI","2988.189","1559.055","90","High Input Impedance, Programmable Gain, 24-Bit, 1MSPS, Alias-Free Î¼ModuleÂ® DAQ Solution"
